id,labels
U26614,"greater denver area, fudan university, gnip, world bank, ibm"
U26615,china
U26616,"hong kong, huazhong university of science and technology, societe generale, bank of tokyo-mitsubishi ufj ltd., sa sa international holdings ltd., ibm"
U26617,"hong kong, jilin university, city university of hong kong"
U26610,china
U26611,"greater los angeles area, zhejiang university, international rectifier"
U26612,"china, zhejiang university, oracle, alibaba.com"
U26613,"china, bisu, aceprochina"
U641,"greater seattle area, university of washington, hyatt hotels corporation, university of washington's program on environment, red bull north america, nuwest search partners, four seasons seattle, town and country markets inc."
U640,"urbana-champaign illinois area, beijing university of technology, university of illinois at urbana-champaign"
U579,london united kingdom
U578,"san francisco bay area, harbin institute of technology, uc berkeley, chinese university of hong kong"
U577,san francisco bay area
U576,"shanghai city china, shanghai jiao tong university, adp, aia, hong kong polytechnic university"
U575,"san francisco bay area, sun yat-sen university, baidu inc."
U574,"china, sun yat-sen university, netease"
U573,san francisco bay area
U572,"china, sun yat-sen university, google"
U571,"raleigh-durham north carolina area, zhejiang university, cisco systems"
U570,hong kong
U2002,"hong kong, wuhan university"
U2003,"hong kong, university of science and technology of china, chinese university of hong kong, duke university, university of science and technology of china"
U2006,china
U2007,hong kong
U2004,"hong kong, east china normal university, city university of hong kong, bean-hong kong, ericsson, intel"
U18189,"shenzhen city china, zhejiang university, shenzhen capital group co. ltd, chinese university of hong kong"
U257,hong kong
U26549,"china, sichuan university of art and science, talent management consultation co. ltd."
U10527,"china, harbin institute of technology, symantec, lenovo, microsoft, computer associates inc"
U1979,"hong kong, shanghai jiao tong university, chinese university of hong kong, microsoft, google"
U1977,beijing city china
U1976,hong kong
U1974,greater seattle area
U1973,"sydney area australia, nankai university, advanced analytics institute university of technology sydney, citinet systems ltd., city university of hong kong, huawei techonlogies co. ltd, fmsoft techonlogies co. ltd, inventec electronics (tianjin) co. ltd"
U1970,"hong kong, zhejiang university, city university of hong kong, kpmg advisory (china) limited"
U670,singapore
U671,"hong kong, hong kong university of science and technology, four directions limited, independent game developer, artificial life"
U672,little rock arkansas area
U673,"freiburg area germany, sun yat-sen university, albert ludwigs university of freiburg germany"
U674,"hong kong, chinese university of hong kong, chinese university of hong kong"
U675,"china, sun yat-sen university, tencent"
U676,"urbana-champaign illinois area, sun yat-sen university, frost &amp; sullivan, linzhi no.1 high school, nielsen"
U677,"urbana-champaign illinois area, university of illinois at urbana-champaign"
U678,"china, shangdong university"
U679,beijing city china
U10520,"hong kong, chinese university of hong kong, intersil corporation (nasdaq: isil), connectedgroup, information technology services centre chinese university of hong kong"
U4886,"beijing city china, microsoft"
U659,"hong kong, chinese university of hong kong, astri, university of hong kong"
U498,shanghai city china
U499,"urbana-champaign illinois area, university of illinois at urbana-champaign, university of illinois at urbana-champaign"
