id,labels
U25538,"greater new york city area, harbin institute of technology, ibm t. j. watson research, ibm t.j. watson research, eecs department in university of kansas"
U25539,"provo utah area, brigham young university, mastercontrol, church of jesus christ of latter-day saints, awesome pest control, anu resources unlimited, adaptive computing, beehive credit union"
U25530,"provo utah area, brigham young university college of fine arts and communications, byu"
U25531,"greater seattle area, university of maryland baltimore county, zhejiang university, amazon, teijin fibers ltd. (japan) shanghai office shanghai china, samsung co. ltd. (korea) suzhou jiangsu china"
U25532,"greater seattle area, montana state university-bozeman, amazon, rightnow, zutto llc, montana state university"
U25533,"provo utah area, qualtrics"
U25534,"norfolk virginia area, university of science and technology of china, ibm, college of william and mary, university of tennessee"
U25535,"greater seattle area, amazon.com"
U25536,"greater salt lake city area, university of utah, agrium, dmc mining services, freeport-mcmoran copper &amp; gold inc."
U25537,"greater seattle area, brigham young university, amazon, brigham young university, carnegie mellon university"
U3939,"greater boston area, shanghai jiao tong university, vertica systems"
U3938,"stuttgart area germany, shanghai jiao tong university, t-systems, sap, fraunhofer iis, fraunhofer fit, gsf"
U3931,"state college pennsylvania area, shanghai jiao tong university, boston university school of medicine, penn state university, shanghai jiao tong university"
U3930,"hong kong, university of oxford, shanghai jiao tong university, china resources (holdings) co, lourensford wine estate, oriental harbour investment management, guosen h&amp;s investment, morgan stanley, google"
U3933,"shanghai city china, shanghai jiao tong university, generalbiologic, hubs1, woyo.com, izenesoft (shanghai) co. ltd"
U3932,"san francisco bay area, shanghai jiao tong university, cisco systems, uc davis, at&amp;t labs inc., shanghai jiao tong university"
U3935,"albany new york area, jiangnan university, transfinder, emerson, rensselaer polytechnic institute, china construction bank"
U3934,"albany new york area, devi ahilya vishwavidyalaya, cisco systems, rensselaer polytechnic institute"
U3937,"shanghai city china, shanghai cifco futures co. ltd"
U3936,"madison wisconsin area, shanghai jiao tong university, university of wiscoonsin-madison"
U27808,japan
U27809,"hong kong, hong kong university of science and technology, citic securities international, sail advisors, guoyuan securities (hongkong)"
U27806,"indianapolis indiana area, cummins inc."
U27807,"san francisco bay area, indiana state university, rocket fuel inc., kabam, loopnet, force 3, sun patuxent publishing"
U27804,"china, shandong university, ibm"
U27805,"san francisco bay area, peking university, electronic arts, urbanq, microsoft, zillow.com inc, virginia bioinformatics institute, sunlight software inc."
U27802,"greater new york city area, tremor video, private"
U27803,"greater boston area, university of illinois at urbana-champaign, mit, department of ece university of illinois urbana champaign, university of illinois - coordinated science laboratory"
U27800,greater boston area
U27801,"china, shanghai jiao tong university, shanghai da chien education information consulting company, expat learning center"
U27578,"urbana-champaign illinois area, moscow institute of physics and technology (state university) (mipt), university of illinois at urbana-champaign, microsoft, dorodnicyn computing centre of russian academy of sciences"
U27579,"shanghai city china, bain and company"
U27576,"shanghai city china, shanghai jiao tong university, logn, dena, woyo.com, tencent"
U27577,"bloomington indiana area, shanghai jiao tong university, indiana university, shanghai jiao tong university, chemspec"
U27574,"hong kong, hong kong university of science and technology, orc software, wireless network research lab, bank of china international, deutsche bank, microsoft"
U27575,"columbus ohio area, shanghai jiao tong university, ohio state university, at&amp;t shannon labs research, shanghai jiao tong university, microsoft research asia"
U27572,"san francisco bay area, yelp.com"
U27573,"greater chicago area, university of illinois at urbana-champaign, altimus capital, cicc, university of illinois at urbana-champaign, oriental fortune capital"
U27570,china
U27571,"china, shanghai jiao tong university, sap, pwc consulting"
U28767,"san francisco bay area, seoul national university, lawrence berkeley national laboratory, university of illinois at urbana-champaign, stanford research institute, search and science yahoo! labs, antispam team yahoo inc, grainger engineering library university of illinois"
U28765,"raleigh-durham north carolina area, brigham young university, sas, university of illinois at urbana-champaign, metron scientific solutions, sandia national laboratories, oxford worldwide group"
U27718,urbana-champaign illinois area
U27719,"albuquerque new mexico area, mind research network (mrn)"
U27712,puranpur area india
U27713,"greater atlanta area, goizueta business school emory university, shanghai jiao tong university, coca-cola company, whirlpool corporation, cooper industries"
U27710,"china, tsinghua university, shell, inhand, chang an auto new engergy company, ca acoustics, tianxiawen, areva t&amp;d"
U27711,"urbana-champaign illinois area, american university of beirut, university of illinois at urbana-champaign, american university of beirut"
U27716,"orlando florida area, shanghai jiao tong university, convergys"
U27717,"korea, securities firm"
U27714,"washington d.c. metro area, west virginia wesleyan college, rock creek group, computer sciences corporation, mountain state information systems inc."
U27715,"san francisco bay area, appdynamics, independent"
U27488,"urbana-champaign illinois area, huazhong university of science and technology, university of illinois at urbana-champaign, jiuzhou engineering consulting co.ltd"
U27489,urbana-champaign illinois area
U27482,"san francisco bay area, university of illinois at urbana-champaign, manipal institute of technology, american megatrends, simplex investments"
U27483,"shanghai city china, shanghai jiao tong university, oocl"
U27480,"urbana-champaign illinois area, google"
U27481,"beijing city china, shanghai jiao tong university, jumei, zingou.com, gctech.cn, netcircle, shanghai jiao tong university, intel corporation"
U27486,"san francisco bay area, yelp.com"
U27487,"san francisco bay area, university of california berkeley, university of ghana, yelp.com, mercy corps, blum center for developing economies, lingnan foundation and cal corps public service center, center for information and research on civic learning and engagement, private family, get real hiv aids sex education, girl scouts of san francisco bay area, axis community health"
U27484,"san francisco bay area, university of texas at austin, yelp.com, green hills software, applied research labs"
U27485,"china, shanghai jiao tong university, microstrategy, insigma hengtian software ltd., schooner information technology"
U16185,"greater new york city area, peking university, morgan stanley, university of illinois at urbana-champaign, illinois business consulting, sabre airline solutions"
U27626,"greater new york city area, university of illinois at urbana-champaign, procter &amp; gamble, ppg industries"
U27627,urbana-champaign illinois area
U27624,"shanghai city china, shanghai jiao tong university, psa peugeot citro&#xeb;n, shanghai automotive industry corporation (group)"
U27625,"greater new york city area, university of illinois at urbana-champaign - college of business, hsbc, deloitte private client services, ge, sha inc"
U27622,"shenzhen guangdong china, shanghai jiao tong university, moody's analytics"
U27623,"vancouver canada area, shanghai jiao tong university, simon fraser university, ef education first, china mobile, convergys corp."
U27620,"shanghai city china, tongji university, morgan stanley, ibm"
U27621,"shanghai city china, intel asia pacific r&d company"
U27628,"china, shanghai jiao tong university, google summer of code, alibaba cloud computing company, microsoft, morgan stanley"
U27629,"china, beijing normal university, tencent, microsoft research asia"
U4646,cologne area germany
U4647,"beijing city china, pricewaterhousecoopers"
U4644,urbana-champaign illinois area
