id,labels
U24946,"san francisco bay area, verizon, aiaa journal of aerospace information systems"
U24828,"san francisco bay area, palantir technologies"
U24843,"san francisco bay area, newco, awesome startups"
U24842,urbana-champaign illinois area
U24841,"greater chicago area, groupon"
U24840,"urbana-champaign illinois area, urfamily pte. ltd., university of illinois at urbana-champaign - enterpriseworks"
U24847,"greater chicago area, markitx"
U24846,"kokomo indiana area, delphi"
U24845,"urbana-champaign illinois area, university of illinois at urbana-champaign"
U24844,"greater chicago area, accenture, instructional computing services"
U24849,urbana-champaign illinois area
U24848,urbana-champaign illinois area
U7788,"urbana-champaign illinois area, shanghai jiao tong university, university of illinois at urbana-champaign"
U7789,beijing city china
U7782,china
U7783,"china, aliyun.com"
U7780,"san francisco bay area, university of chicago, university of illinois at urbana-champaign, shanghai jiao tong university"
U7781,"greater chicago area, university of illinois at urbana-champaign"
U7786,"london united kingdom, shanghai jiao tong university, university college london"
U7787,"san francisco bay area, peking university, c2 education"
U7784,urbana-champaign illinois area
U7785,"urbana-champaign illinois area, university of illinois at urbana-champaign, cygnas corporation, university of illinois at urbana-champaign"
U15053,"urbana-champaign illinois area, university of illinois at urbana-champaign"
U24836,"san francisco bay area, groupon"
U24837,san francisco bay area
U24834,"greater chicago area, neustar inc."
U24835,"urbana-champaign illinois area, neustar inc."
U24832,"urbana-champaign illinois area, neustar inc., university housing at illinois, beckman institute for advanced science and technology"
U24833,"urbana-champaign illinois area, acton h. gorton"
U24830,"greater new york city area, marketfield asset management llc"
U24831,"greater seattle area, microsoft"
U24937,"san francisco bay area, bloomreach"
U24936,"san francisco bay area, bloomreach"
U24935,"greater new york city area, goldman sachs"
U24934,"san francisco bay area, festive research"
U24933,"greater new york city area, goldman sachs"
U24932,"urbana-champaign illinois area, university of illinois at urbana-champaign"
U24838,"san francisco bay area, claco.com, backplane"
U24930,greater boston area
U24873,"san francisco bay area, law offices of mikio ishimaru"
U7810,urbana-champaign illinois area
U7811,"san francisco bay area, columbia university - fu foundation school of engineering and applied science, google"
U17424,"raleigh-durham north carolina area, unc chapel hill"
U17423,"bloomington indiana area, center for evaluation and education policy (ceep) iub"
U17422,"cincinnati area, miami university"
U17421,"fuzhou fujian china, fujian medical university"
U17420,urbana-champaign illinois area
U19780,"provo utah area, brigham young university"
U19781,urbana-champaign illinois area
U19782,"state college pennsylvania area, penn state, university of missouri"
U19783,"macao, dsfsm, dsej"
U19784,"macao, macau fisherman's wharf"
U19785,"hong kong, nls co. ltd., innoxcell"
U19786,"urbana-champaign illinois area, university of illinois at urbana-champaign"
U19787,united states
U19788,urbana-champaign illinois area
U19789,"provo utah area, iaea, finegrain"
U9489,"greater new york city area, revolution search inc."
U9488,"urbana-champaign illinois area, solid commerce"
U9483,"shenzhen guangdong china, huawei"
U9482,"urbana-champaign illinois area, ischool uiuc usa"
U9481,"santa barbara california area, national center for ecological analysis and synthesis (nceas), university of california santa barbara"
U9480,"santa barbara california area, achievemint"
U9487,"urbana-champaign illinois area, university of illinois at urbana-champaign"
U9486,"greater los angeles area, university of southern california"
U9485,"urbana-champaign illinois area, university of illinois at urbana-champaign"
U9484,"beijing city china, microsoft research asia"
U24887,urbana-champaign illinois area
U24886,"san francisco bay area, linkedin"
U24885,"urbana-champaign illinois area, university of illinois at urbana-champaign"
U24884,san francisco bay area
U24883,"urbana-champaign illinois area, maxim integrated, university of illinois at urbana-champaign"
U24882,"san francisco bay area, linkedin"
U24881,"urbana-champaign illinois area, neustar inc."
U24880,"san francisco bay area, twitter"
U24889,urbana-champaign illinois area
U24888,"greater st. louis area, olin business school"
U7755,"china, shanghai jiao tong university"
U7748,"urbana-champaign illinois area, peking university, university of illinois at urbana-champaign"
U7749,"urbana-champaign illinois area, tsinghua university, university of illinois at urbana-champaign"
U7746,"greater new york city area, beijing university of post and telecommunications, new york university - poly, icpc team @ new york university"
U7747,"san francisco bay area, fudan university, twitter"
U7744,"greater new york city area, tsinghua university, tower research capital llc, university of illinois at urbana-champaign"
U7745,"greater detroit area, fudan university, google"
U7742,"urbana-champaign illinois area, tsinghua university, university of illinois at urbana-champaign"
U7743,"greater boston area, shanghai jiao tong university, vertica systems (acquired by hp)"
U7740,"urbana-champaign illinois area, university of illinois at urbana-champaign, tsinghua university, university of illinois at urbana-champaign"
U7741,other
U7756,"san francisco bay area, shanghai jiao tong university, google"
U24894,"san francisco bay area, twitter"
U7750,"san francisco bay area, stanford university, sibblingz inc"
U9418,"hong kong, financial engineering and technology corporation"
U7753,"beijing city china, shanghai jiao tong university, noah's ark lab huawei technologies co. ltd."
