id,labels
U25088,"urbana-champaign illinois area, bangladesh university of engineering and technology, university of illinois at urbana-champaign, oklahoma state university, british american tobacco, bangladesh university of engineering &amp; technology, bangladesh insulation &amp; sanitary factory (bisf)"
U25089,portland oregon area
U9213,"madison wisconsin area, tsinghua university, epic, indiana university bloomington, stony brook university, tsinghua university"
U25080,"greater new york city area, tsinghua university, yale university, tsinghua university"
U25081,"urbana-champaign illinois area, tsinghua university, university of illinois at urbana-champaign, aia, beijing municipal bureau of statistics"
U25082,urbana-champaign illinois area
U25083,"san francisco bay area, union bank"
U25084,"beijing city china, tsinghua university, kkr, colincare public services, bank of america merrill lynch, boston consulting group, bain &amp; company, google"
U25085,"greater philadelphia area, wuhan university, human language technology laboratory university of delaware"
U9218,"san francisco bay area, tsinghua university, apple, canesta, netease"
U25087,"urbana-champaign illinois area, &#xc778;&#xd558;&#xb300;&#xd559;&#xad50; inha university, trine university"
U6099,"greater new york city area, nanjing university of posts and telecommunications, citadel investment group, university of illinois at urbana-champaign, university of texas at dallas, intel corporation"
U6098,urbana-champaign illinois area
U6095,"urbana-champaign illinois area, university of illinois at urbana-champaign"
U6094,"urbana-champaign illinois area, university of illinois at urbana-champaign, university of illinois at urbana-champaign, howard r. green company, union pacific"
U6097,"greater seattle area, gonzaga university, hanson professional services inc., university of illinois at urbana-champaign"
U6096,"colombia, universidad san pablo-ceu, universidad de los andes, cerrejon, university of illinois at urbana-champaign, instituto de desarrollo urbano bogota, universidad de los andes"
U6091,"urbana-champaign illinois area, university of tennessee-knoxville, hanson professional services inc., railtec, university of tennessee center, tec engineering, hi-five development services"
U6090,"urbana-champaign illinois area, university of illinois at urbana-champaign, university of illinois at urbana-champaign, consorzio cavet"
U6093,"greater boston area, zhejiang university, massachusetts institute of technology, mit, exxonmobil, utc power, university of illinois at urbana-champaign, niederrhein university of applied sciences"
U6092,"qiqihaer heilongjiang china, ju long froup jilong coal mining, qrrs"
U6657,"san francisco bay area, tsinghua university, google, hewlett-packard, university of illinois at urbana-champaign, qualcomm"
U10337,"urbana-champaign illinois area, shanghai jiao tong university, university of illinois at urbana-champaign"
U26199,"san francisco bay area, yelp.com"
U26198,"shanghai city china, shanghai jiao tong university, emc, actuate, china telecom"
U26193,"sacramento california area, shanghai jiao tong university, greenplum, computer science department uc davis, school of software shanghai jiaotong university"
U26192,urbana-champaign illinois area
U26191,"ithaca new york area, university of illinois at urbana-champaign, shenzhou tuji geographical names information co. ltd"
U26190,puranpur area india
U26197,"shanghai city china, shanghai jiao tong university, siemens healthcare, shanghai office zhenjiang ymx garment co., shanghai jiaoyun group"
U26196,"urbana-champaign illinois area, xiamen university, university of illinois at urbana-champaign, xiamen university"
U26195,"greater new york city area, university of illinois at urbana-champaign, altfest personal wealth management, swaps monitor publications inc., quirky.com, illinois business consulting, china mobile"
U26194,"washington d.c. metro area, west virginia wesleyan college, rock creek group, computer sciences corporation, mountain state information systems inc."
U25156,urbana-champaign illinois area
U25157,greater seattle area
U25154,"greater pittsburgh area, tsinghua university, ibm almaden research center, carnegie mellon university, university of illinois at urbana-champaign, command performance research inc., tsinghua university"
U25155,"san francisco bay area, university of international relations, orbeus inc, merkle, my virtual coo, alzheimer's association, ibm, ufida software co.ltd, china ever bright bank"
U25152,"san francisco bay area, institute of microelectronics july 2008 tsinghua university, amd, ge healthcare, huawei, mad city labs inc, university of wisconsin-madison, tsinghua university, beijing huatian eda ltd, alcatel shanghai bell co"
U25086,urbana-champaign illinois area
U25150,"san francisco bay area, university of toronto at mississauga - erindale college, applied microstructures, novellus systems inc., thermo finnigan, carbohydrate research center"
U25151,"urbana-champaign illinois area, fudan university, university of illinois at urbana-champaign, msfe program, illinois business consulting group"
U25158,united states
U25159,"san francisco bay area, university of california davis, lam research, novellus systems, asyst technologies, watkins-johnson"
U26160,"urbana-champaign illinois area, university of illinois at urbana-champaign, university of illinois international programs and studies&#x2019; office, university of illinois at urbana-champaign, wmbc tv, cocomero frozen yogurt, plano senior high school newspaper, global warming summit, huijia private school magazine, university of western australia"
U518,greater seattle area
U13597,"urbana-champaign illinois area, university of illinois at urbana-champaign"
U510,"greater chicago area, beijing jiaotong university, ch2m hill, champaign county regional planning commission, university of illinois at urbana-champaign, china communications construction company limited"
U515,"greater new york city area, quant staffings llc"
