id,labels
U1893,"san francisco bay area, a9.com (an amazon.com company)"
U6818,"urbana-champaign illinois area, university of illinois at urbana-champaign"
U1849,"canada, mcgill university"
U6810,urbana-champaign illinois area
U11280,"urbana-champaign illinois area, university of illinois at urbana-champaign, s&amp;p capital iq, university of illinois at urbana-champaign, kingtek corporation"
U25054,"greater new york city area, beijing university of post and telecommunications, lab49, nokia, university of illinois at urbana-champaign, kimberly-clark, industrial design center"
U19570,"lafayette indiana area, tsinghua university, purdue university, linkedin, intel labs"
U2486,"urbana-champaign illinois area, university of illinois at urbana-champaign"
U2487,"urbana-champaign illinois area, nanjing university, university of illinois at urbana-champaign, yahoo!"
U2485,"greater detroit area, peking university, university of michigan, yahoo!, microsoft research"
U2482,"san francisco bay area, harbin institute of technology, ibm almaden research center, palo alto research center (parc), ibm t. j. watson research center, ebay research labs"
U2480,"greater seattle area, peking university, google, university of illinois at urbana-champaign, motorola, national center for supercomputing applications"
U13493,beijing city china
U2523,"urbana-champaign illinois area, zhejiang university, microsoft research, university of illiniois, facebook, google"
U1011,"greater atlanta area, emory university"
U1017,urbana-champaign illinois area
U4253,"topeka kansas area, university of illinois at urbana-champaign, kansas state university, university of notre dame, university of illinois at urbana-champaign, kansas state university, lockheed martin, union pacific railroad, garmin international, honeywell fm&t"
U4252,"san francisco bay area, east china normal university, linkedin"
U4254,"urbana-champaign illinois area, zhejiang university, university of illinois at urbana-champaign"
U10514,"san francisco bay area, facebook"
U10512,"beijing city china, tsinghua university, machine learning department carnegie mellon university, microsoft research asia"
U10513,"san francisco bay area, shanghai jiao tong university, university of southern california, microsoft research asia"
U26191,"ithaca new york area, university of illinois at urbana-champaign, shenzhou tuji geographical names information co. ltd"
U823,"urbana-champaign illinois area, university of illinois at urbana-champaign, amazon, neustar inc., university of illinois at urbana-champaign"
U822,"urbana-champaign illinois area, peking university, university of illinois at urbana-champaign, microsoft research asia"
U825,"ithaca new york area, university of illinois at urbana-champaign, bagtheweb inc., university of illinois at urbana-champaign"
U824,"san francisco bay area, linkedin"
U2439,"greater new york city area, university of science and technology of china (ustc), ibm t. j. watson research center, columbia university, nec laboratories america inc., microsoft research, eastman kodak research laboratories"
U26196,"urbana-champaign illinois area, xiamen university, university of illinois at urbana-champaign, xiamen university"
U3244,china
U28847,greater pittsburgh area
U26138,"columbus ohio area, shanghai jiao tong university, ohio state university, shanghai jiao tong university, microsoft research asia"
U5888,"urbana-champaign illinois area, university of illinois at urbana-champaign, hp labs"
U28840,"greater seattle area, microsoft"
U26131,"san francisco bay area, google"
U26130,"china, shanghai jiao tong university, morgan stanley"
U26133,"suzhou city china, university of illinois at urbana-champaign, "
U26132,"hong kong, hong kong university of science and technology, orc software, wireless network research lab, bank of china international, deutsche bank, microsoft"
U26135,"san francisco bay area, university of california los angeles, asana, facebook, google, strategic data corp, adaptive ai inc, telseon, hewlett-packard"
U26134,"greater new york city area, university of illinois at urbana-champaign, world health organization, china financial services, merrill lynch, summit mortgage bankers inc."
U26137,"urbana-champaign illinois area, university of illinois at urbana-champaign, international forest products"
U26136,"china, shandong university, ibm"
U843,"greater seattle area, university of illinois at urbana-champaign, bunchball, n a, microsoft corporation, state farm insurance"
U9195,"allentown pennsylvania area, lehigh university"
U6793,"urbana-champaign illinois area, university of illinois at urbana-champaign, shanghai jiao tong university, university of illinois at urbana-champaign, google, ibm"
U9197,"greater new york city area, tsinghua university, pine river capital management, microsoft bing search(bellevue u.s.a), a.t.kearney, microsoft research redmond, idc, microsoft research asia, share, intel research"
U9196,urbana-champaign illinois area
U6794,"san francisco bay area, university of chicago, university of illinois at urbana-champaign, shanghai jiao tong university"
U6795,"urbana-champaign illinois area, tsinghua university, university of illinois at urbana-champaign, adobe, msra"
U6799,"urbana-champaign illinois area, university of illinois at urbana-champaign"
U2451,"urbana-champaign illinois area, tsinghua university, facebook, nvidia"
U918,"urbana-champaign illinois area, university of illinois at urbana-champaign, spot trading llc, intelligent medical objects, dr. h.r thompson md, china automotive industry engineering corp."
U853,"urbana-champaign illinois area, tsinghua university, university of illinois at urbana-champaign, ibm"
U2459,"urbana-champaign illinois area, zhejiang university, innovation works, microsoft, google"
U917,"san francisco bay area, peking university, twitter, cfa institute, university of illinois at urbana-champaign, facebook, yahoo!"
U916,"urbana-champaign illinois area, university of illinois at urbana-champaign, sichuan university, goldman sachs, university of illinois at urbana-champaign"
U911,"greater chicago area, university of illinois at urbana-champaign, university of illinois at urbana-champaign, fidelity investments, jump trading llc, department of mathematics university of illinois at urbana champaign, samsi"
U20193,"san francisco bay area, salesforce.com"
U26225,"greater chicago area, st. xavier's college, howard hughes medical institute, university of illinois at urbana-champaign, advanced center for treatment research and education in cancer navi mumbai india"
U26224,"greater philadelphia area, shanghai jiao tong university, drexel university, shanghai jiao tong university"
U26227,"san francisco bay area, university of california berkeley, uc berkeley, yelp.com, pbworks, pbwiki, a9.com, themintpages"
U26226,"china, shanghai jiao tong university, sjtu"
U26221,"greater atlanta area, university of illinois at urbana-champaign, manipal institute of technology, american megatrends, simplex investments"
U26220,"greater seattle area, amazon.com"
U26223,"japan, shanghai jiao tong university, boston consulting group, deloitte, monitor group, fujitsu, toshiba"
U26222,"china, baidu @ china"
U26229,"greater new york city area, ida scudder, maven alpha"
U26228,united states
U25011,"urbana-champaign illinois area, tsinghua university, intel corporation, micron technology, sony"
U8579,"urbana-champaign illinois area, university of illinois at urbana-champaign, microsoft, university of illinois at urbana-champaign"
U9226,"urbana-champaign illinois area, tsinghua university, university of illinois at urbana-champaign, hulu"
U9225,"san francisco bay area, tsinghua university, foursquare, microsoft research &amp; bing, google, linkedin"
U9228,"san francisco bay area, tsinghua university, facebook, apache software foundation, yahoo!"
U6086,"san francisco bay area, university of illinois at urbana-champaign, gree international inc, cygnas corporation"
U6085,"urbana-champaign illinois area, tsinghua university, belcan engineering"
U9353,"china, knowledge engineering group, tsinghua university"
U10321,"urbana-champaign illinois area, university of illinois at urbana-champaign, brigham young university, ibm, data mining research group, amazon, natural language processing lab at byu, cyber security group cs dept of byu, brigham young university dean's office fine arts communications"
U10320,"beijing city china, tsinghua university, university of illinois at urbana-champaign, shanda games"
U9292,"san francisco bay area, twitter"
U9359,"san francisco bay area, tsinghua university, responsys, oracle, intel china research center"
U10326,urbana-champaign illinois area
U26140,"greater new york city area, shanghai jiao tong university, qualcomm"
U7821,"greater chicago area, tianjin university, strata decision technology, homelegance by topline furniture, starkey labs, university of illinois at urbana-champaign, tianjin university"
U7820,"urbana-champaign illinois area, tsinghua university, university of illinois at urbana-champaign"
U7824,"urbana-champaign illinois area, xiamen university, university of illinois at urbana-champaign, foreign affairs office xiamen government"
U25709,san francisco bay area
U28803,"greater new york city area, tsinghua university, google, ibm"
U10523,"hong kong, peking university, huawei noah's ark research lab, hong kong university of science and technology, simon fraser university, university of waterloo"
U26148,"lafayette indiana area, american university of beirut, purdue university, google, yelp.com, american university of beirut"
U7898,"urbana-champaign illinois area, shanghai jiao tong university, university of illinois at urbana-champaign, google inc., akiira media systems inc."
U26260,"shanghai city china, shanghai jiao tong university, pwc sdc, convergys, bearingpoint"
U8602,"san francisco bay area, university of illinois at urbana-champaign, duetto research, bunchball"
U7893,"urbana-champaign illinois area, amd"
U7891,"greater chicago area, university of illinois at urbana-champaign, technology services group - chicago, ge healthcare"
U19385,"greater seattle area, jadavpur university"
U6517,"greater atlanta area, shanghai jiao tong university, google, georgia institute of technology"
U26285,urbana-champaign illinois area
U795,"urbana-champaign illinois area, university of illinois at urbana-champaign, beijing language and culture university, office of community college research and leadership at university of illinois, family resiliency center uiuc, department of kinesiology and community health, department of educational psychology, chinese proficiency test center, beijing language and culture university"
U26269,"tampa st. petersburg florida area, university of south florida"
U26268,"shanghai city china, shanghai jiao tong university"
U26142,"austin texas area, shanghai jiao tong university"
U26143,"san francisco bay area, independent"
U26144,"gainesville florida area, university of florida"
U26145,"san francisco bay area, columbia university in city of new york, yelp, zynga, microsoft, zune device"
U26146,"san francisco bay area, case western reserve university, yelp.com, becker web solutions llc, codonics, keygroup consulting"
U26147,"greater detroit area, university of illinois at urbana-champaign, akzonobel, university of illinois at urbana-champaign, archer daniels midland, american institute of chemical engineers, cnooc, dow corning"
U26261,"san francisco bay area, university of illinois at urbana-champaign, evernote, amazon.com"
U26149,"san francisco bay area, university of california santa barbara, yelp.com, ""sell yourself! - a guide to post-college job search"""
U4886,"beijing city china, microsoft"
U26262,hong kong
U26265,"melbourne area australia, synnex australia pty ltd"
U26264,"urbana-champaign illinois area, university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U26267,"albuquerque new mexico area, mind research network (mrn)"
U26266,"urbana-champaign illinois area, university of illinois at urbana-champaign, standard chartered bank, no.1 puppy"
U24003,"urbana-champaign illinois area, michigan state university, state farm research and development center"
U493,"hong kong, zhejiang university, baidu, chinese university of hong kong, google, microsoft, national university of singapore"
U26139,"greater los angeles area, shanghai jiao tong university, eharmony.com, information sciences institute, ebaotech corporation"
U19563,"greater san diego area, microsoft"
U9306,"urbana-champaign illinois area, university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U9303,"san francisco bay area, fudan university, klout, facebook, nec research, google, yahoo"
U1995,"san francisco bay area, university of science and technology of china, yahoo! inc., hermes microvision inc., fastvdo inc., siemens corporate research, eastman kodak"
U5824,"urbana-champaign illinois area, seoul national university, caterpillar inc., university of illinois at urbana-champaign, mckinsey &amp; company, ibm research, yahoo!, amazon.com, lg electronics, samsung sds, eighth united states army"
U9398,"sydney area australia, shanghai jiao tong university, google, microsoft research asia"
U9393,"urbana-champaign illinois area, worldly"
U26263,"san francisco bay area, space systems loral"
U6077,"urbana-champaign illinois area, shanghai jiao tong university, university of illinois at urbana-champaign, university of illinois at urbana-champaign, transportation technology center inc"
U24981,"greater boston area, university of illinois at urbana-champaign, robert bosch gmbh, schlumberger, mathematical biosciences institute ohio state univeristy, institute for mathematics and its application university of minnesota, stanford university"
U2533,"san francisco bay area, ricoh innovations inc."
U2530,"san francisco bay area, peking university, microsoft, yahoo!, facebook, nokia"
U9268,"san francisco bay area, klout"
U7904,"greater chicago area, university of illinois at urbana-champaign, ernst &amp; young, north american company for life and health, department of mathematics university of illinois at urbana champaign, university of illinois at urbana-champaign, china taiping insurance, actuarials holdings llc, haitong securities asset management division"
U19960,"beijing city china, baidu inc."
U6115,"west palm beach florida area, shanghai jiao tong university, epoca inc."
U10505,"greater new york city area, city university of new york"
U532,"hong kong, shanghai jiao tong university, chinese university of hong kong, uc santa barbara, huawei, intel corporation"
U539,"urbana-champaign illinois area, university of illinois at urbana-champaign, university of illinois at urbana-champaign, siemens ltd, mcc capital engineering &amp; research incorporation ltd."
U9194,"urbana-champaign illinois area, tsinghua university, microsoft, sohu.com"
