id,labels
U27518,"phoenix arizona area, arizona state university"
U27519,"shanghai city china, shanghai jiao tong university, morgan stanley, convergys, intel corporation"
U27515,"greater seattle area, shanghai jiao tong university, facebook, amazon.com"
U27517,"greater seattle area, shanghai jiao tong university, amazon, microsoft, texas a&amp;m university"
U27510,"san francisco bay area, tsinghua university, facebook"
U27296,"greater new york city area, university of illinois at urbana-champaign, world health organization, china financial services, merrill lynch, summit mortgage bankers inc."
U27295,"baltimore maryland area, johns hopkins university - carey business school, university of illinois at urbana-champaign, light brigade consulting, children's hospital colorado, vector marketing, boci, lord abbett china, hsbc"
U27594,"hong kong, shanghai jiao tong university, j.p. morgan, morgan stanley"
U4570,"urbana-champaign illinois area, zhejiang university, hong kong university of science and technology, exacloud, nvidia, microsoft"
U27458,"urbana-champaign illinois area, tsinghua university, university of illinois at urbana-champaign, ibm, hulu"
U27592,"china, shanghai jiao tong university, ifree studio limited, boisgames studio, ubisoft shanghai"
U14025,urbana-champaign illinois area
U27455,"urbana-champaign illinois area, university of illinois at urbana-champaign"
U27454,"urbana-champaign illinois area, tsinghua university, intel corporation, micron technology, sony"
U27457,"greater los angeles area, shanghai jiao tong university, eharmony.com, information sciences institute, ebaotech corporation"
U27661,"san francisco bay area, shanghai jiao tong university, google, at&amp;t labs inc., university of michigan"
U27598,"san francisco bay area, shanghai jiao tong university, oracle, bank of america merrill lynch, benchfly.com, microsoft, goldman sachs"
U2635,"hyderabad area india, university of mumbai, microsoft, university of illinois at urbana-champaign, nec laboratories america, ibm, yahoo!, webaroo"
U19879,"allentown pennsylvania area, university of illinois at urbana-champaign, google, university of illinois at urbana-champaign, william's computer repair, ppl corporation"
U8678,"greater boston area, university of illinois at urbana-champaign, amirkabir university of technology - tehran polytechnic, microsoft, university of illinois at urbana-champaign, navteq"
U4475,"urbana-champaign illinois area, state farm insurance, university of illinois at urbana-champaign, american educational research association"
U2691,"san francisco bay area, university of science and technology of china, yahoo! inc., hermes microvision inc., fastvdo inc., siemens corporate research, eastman kodak"
U2690,"urbana-champaign illinois area, university of illinois at urbana-champaign, university of illinois at urbana-champaign, amazon, jump trading llc, cognitive computation group, center for simulation of advanced rockets, thai samsung electronics"
U14659,"san francisco bay area, university of illinois at urbana-champaign - college of business, nanjing normal university, zmodo technology corporation ltd."
U4598,"san francisco bay area, hgst a western digital company"
U27697,urbana-champaign illinois area
U24049,"greater seattle area, peking university, google, university of illinois at urbana-champaign, motorola, national center for supercomputing applications"
U24048,"china, wuhan university, startup, microsoft bing, yahoo!, university of illinois at urbana-champaign, ibm research"
U27292,"san francisco bay area, university of illinois at urbana-champaign, gree international inc, cygnas corporation"
U24064,"san francisco bay area, twitter"
U2619,"urbana-champaign illinois area, zhejiang university, university of illinois at urbana-champaign, ibm research almaden, microsoft research asia, zhejiang university, ucla"
U2618,"urbana-champaign illinois area, university of illinois at urbana-champaign, zhejiang university, university of california los angeles, university of illinois at urbana-champaign, microsoft research asia, probabilistic and intelligence lab zhejiang university"
U24047,"vancouver canada area, tsinghua university, salesforce.com, american museum of natural history, medical center columbia university, academic project, kong zhong net. inc"
U24046,"urbana-champaign illinois area, fudan university, whova, university of illinois at urbana-champaign, microsoft, google, chinese academy of sciences, fudan university"
U24045,"san francisco bay area, tsinghua university, university of illinois at urbana-champaign, ibm"
U24044,"san francisco bay area, oracle"
U27509,"urbana-champaign illinois area, tsinghua university, university of illinois at urbana-champaign"
U27508,"china, university of illinois at urbana-champaign, university of international business and economics, citic securities, jiangsu sainty corp.ltd., newmargin ventures, standard chartered bank, agricultural bank of china"
U8759,"greater boston area, mit"
U27685,"urbana-champaign illinois area, seoul national university, caterpillar inc., university of illinois at urbana-champaign, mckinsey &amp; company, ibm research, yahoo!, amazon.com, lg electronics, samsung sds, eighth united states army"
U27502,"san francisco bay area, university of science and technology of china, adobe systems, university of illinois at urbana-champaign, kodak research lab, nec laboratories america"
U27501,"greater new york city area, tsinghua university, qualcomm research, csl @ uiuc, goldman sachs, microsoft research, technicolor (thomson) paris research lab, communication network lab in tsinghua university"
U8276,"urbana-champaign illinois area, bharati vidyapeeth's college of engineering, university of illinois at urbana-champaign, strategic healthcare it advanced research projects on security, ge global research, drishtee"
U27507,"urbana-champaign illinois area, goldman sachs, university of illinois at urbana-champaign"
U27505,"san francisco bay area, tsinghua university, foursquare, microsoft research &amp; bing, google, linkedin"
U27504,"san francisco bay area, tsinghua university, facebook, apache software foundation, yahoo!"
U27468,"urbana-champaign illinois area, university of illinois at urbana-champaign, lyric opera of chicago, athenaeum theatre, about face theatre"
U27678,"san francisco bay area, university of california davis, twitter, google"
U27773,"san francisco bay area, shanghai jiao tong university, twitter, nsf cloud and autonomic computing (cac) center, university of florida, amazon.com, hewlett-packard"
U2680,"greater chicago area, university of illinois at chicago"
U24067,"san francisco bay area, tsinghua university, dropbox, university of southern california, google, at&amp;t labs inc."
U27671,"urbana-champaign illinois area, xiamen university, university of illinois at urbana-champaign, foreign affairs office xiamen government"
U27461,"urbana-champaign illinois area, university of illinois at urbana-champaign, illinois business consulting, university of illinois at urbana-champaign, pricewaterhousecoopers zhong tian cpas limited company, bank of china"
U2688,"urbana-champaign illinois area, chinese university of hong kong"
U2689,"urbana-champaign illinois area, seoul national university, university of illinois at urbana-champaign, hewlett-packard laboratories, yahoo!, nhn corporation"
U27677,"greater st. louis area, north central university, saints church - st. louis, kalmat foundation inc., interlink language centers, intervarsity christian fellowship usa, center on democracy in a multiracial society univeristy of illinois, stone creek church, school for international training, university of illinois at urbana-champaign, 2005 - 2006) publication services inc, tcf bank"
U27676,"urbana-champaign illinois area, university of illinois at urbana-champaign, zhejiang university, university of illinois at urbana-champaign"
U11563,"urbana-champaign illinois area, tsinghua university, university of illinois at urbana-champaign, ebay"
U7089,"urbana-champaign illinois area, university of illinois at urbana-champaign"
U4468,"urbana-champaign illinois area, beijing normal university"
U16129,"shanghai city china, university of illinois at urbana-champaign"
U11559,other
U11555,"san francisco bay area, ."
U11554,"urbana-champaign illinois area, university of illinois at urbana-champaign, shanghai jiao tong university, university of illinois at urbana-champaign, google, ibm"
U4585,"munich area germany, ludwig-maximilians universität münchen lmu munich, university of chicago, university of illinois at urbana-champaign, peking university, high school affiliated to renmin university of china, university of munich, university of illinois at urbana-champaign"
U4586,"urbana-champaign illinois area, tsinghua university, university of illinois at urbana-champaign, parker hannifin, lam research, tsinghua university, silk road franco-chinese exchange program"
U27477,"greater seattle area, university of washington"
U27476,"greater new york city area, shanghai jiao tong university, ibm, nyse euronext, skim.me, shanghai pudong development bank, qad"
U27647,"san francisco bay area, tsinghua university, responsys, oracle, intel china research center"
U27472,"greater seattle area, shanghai jiao tong university, microsoft corporation"
U27471,"greater philadelphia area, university of illinois at urbana-champaign, china post ecommerce, university of illinois at urbana-champaign, hu-friedy mfg. co. llc, china telecom"
U24069,"san francisco bay area, tsinghua university, microsoft, sohu.com"
U4620,greater new york city area
U24091,"greater seattle area, zhejiang university, microsoft, emory university, yahoo, shopping.com"
U7256,"urbana-champaign illinois area, university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U24093,"beijing city china, tsinghua university, yahoo!, perfect world co. ltd., sogou"
U4624,"greater boston area, university of illinois at urbana-champaign, geode capital management, plymouth rock assurance, university of illinois at urbana-champaign, illinois business consulting, jiahe life insurance company"
U14009,"greater chicago area, university of illinois at urbana-champaign, university of illinois at urbana-champaign, microsoft research, walt disney imagineering, uiuc chapter of acm siggraph, electronic arts"
U24097,"san francisco bay area, pinterest, klout"
U24099,"greater seattle area, nanjing university, amazon web services"
U27467,"greater new york city area, university of illinois at urbana-champaign, state farm insurance, department of economics - university of illinois at urbana-champaign, department of finance - university of illinois at urbana-champaign"
U24050,"greater seattle area, national taiwan university, microsoft, google, national tsing hua university"
U27570,china
U27571,"china, shanghai jiao tong university, sap, pwc consulting"
U2723,"greater los angeles area, tsinghua university, pinterest, ucla, google, tsinghua university, microsoft research asia"
U2637,"san francisco bay area, linkedin"
U24073,"united states, beihang university, arizona state university, microsoft, national university of singapore, beihang university, beijing education authority"
U19919,"urbana-champaign illinois area, university of illinois at urbana-champaign, university of illinois at urbana-champaign, google, amazon.com"
U27278,"urbana-champaign illinois area, university of illinois at urbana-champaign, microsoft"
U11569,"greater los angeles area, shanghai jiao tong university, university of southern california, google, apex data and knowledge management lab, shanghai jiao tong university, microsoft research asia"
U7094,"greater chicago area, university of illinois at urbana-champaign, google, university of illinois at urbana-champaign, facebook, drw trading group, bank of america"
