from,to
U576,U486
U576,U493
U576,U493
U576,U1980
U576,U1963
U576,U1980
U576,U1963
U576,U1963
U576,U493
U576,U486
U493,U492
U493,U500
U493,U522
U493,U518
U493,U494
U493,U486
U493,U548
U493,U516
U493,U557
U493,U547
U493,U588
U493,U495
U493,U563
U493,U533
U493,U512
U493,U576
U493,U550
U493,U603
U493,U585
U493,U531
U493,U29
U493,U554
U493,U593
U493,U1968
U493,U29
U493,U1970
U493,U494
U493,U1974
U493,U1976
U493,U1963
U493,U1994
U493,U554
U493,U1973
U493,U2004
U493,U2006
U493,U2011
U493,U2034
U493,U2035
U493,U1995
U493,U1986
U493,U533
U493,U518
U493,U576
U493,U1979
U493,U2048
U493,U2003
U493,U2015
U493,U2055
U493,U550
U493,U2007
U493,U1988
U493,U2017
U493,U2032
U493,U531
U493,U2065
U493,U500
U493,U1977
U493,U1967
U493,U512
U493,U557
U493,U2002
U493,U603
U493,U495
U493,U2013
U493,U2046
U493,U2028
U493,U548
U493,U10502
U493,U2007
U493,U2035
U493,U518
U493,U10506
U493,U219
U493,U10509
U493,U2032
U493,U29
U493,U2003
U493,U533
U493,U1977
U493,U1968
U493,U5836
U493,U1979
U493,U512
U493,U554
U493,U1994
U493,U2013
U493,U2017
U493,U10527
U493,U10520
U493,U2055
U493,U548
U493,U495
U493,U2459
U493,U563
U493,U547
U493,U1988
U493,U1973
U493,U494
U493,U2028
U493,U1995
U493,U1986
U493,U550
U493,U486
U493,U1967
U493,U500
U493,U10573
U493,U2530
U493,U2523
U493,U603
U493,U1963
U493,U26549
U493,U26550
U493,U26551
U493,U26552
U493,U26553
U493,U603
U493,U26554
U493,U26555
U493,U2580
U493,U26556
U493,U2065
U493,U26557
U493,U13493
U493,U495
U493,U2017
U493,U26558
U493,U26559
U493,U26560
U493,U1976
U493,U257
U493,U522
U493,U11697
U493,U533
U493,U531
U493,U554
U493,U26561
U493,U26562
U493,U26563
U493,U26564
U493,U9273
U493,U26565
U493,U26566
U493,U10527
U493,U1968
U493,U26567
U493,U26568
U493,U26569
U493,U26570
U493,U26571
U493,U585
U493,U2003
U493,U11266
U493,U26572
U493,U18189
U493,U26573
U493,U26574
U493,U10506
U493,U26575
U493,U593
U493,U26576
U493,U557
U493,U26577
U493,U26578
U493,U500
U493,U26579
U493,U26580
U493,U26581
U493,U26582
U493,U2048
U493,U26583
U493,U26584
U493,U26585
U493,U26586
U493,U2034
U493,U26587
U493,U2002
U493,U26588
U493,U26589
U493,U26590
U493,U26591
U493,U4319
U493,U26592
U493,U26593
U493,U11997
U493,U26594
U493,U2485
U493,U2046
U493,U486
U493,U1974
U493,U26595
U493,U1977
U493,U26596
U493,U2032
U493,U26597
U493,U26598
U493,U1963
U493,U26599
U493,U26600
U493,U26601
U493,U11707
U493,U26602
U493,U26603
U493,U588
U493,U550
U493,U2035
U493,U26604
U493,U26605
U493,U26606
U493,U1979
U493,U26607
U493,U26608
U493,U26609
U493,U11277
U493,U26610
U493,U26611
U493,U26612
U493,U219
U493,U548
U493,U2011
U493,U26613
U493,U26614
U493,U512
U493,U26615
U493,U2530
U493,U26616
U493,U26617
U493,U26618
U493,U26619
U493,U494
U493,U2459
U493,U26620
U493,U26621
U493,U26622
U493,U26623
U493,U26624
U493,U26625
U493,U2028
U493,U10573
U493,U547
U493,U26626
U493,U516
U493,U18194
U493,U26627
U493,U26628
U493,U26629
U493,U5836
U493,U26630
U493,U2004
U493,U26631
U493,U576
U493,U26632
U493,U492
U493,U26633
U493,U26634
U493,U26635
U493,U26636
U493,U11727
U493,U29
U493,U11714
U493,U11701
U493,U26637
U493,U10509
U493,U26638
U493,U1973
U493,U26639
U493,U10520
U493,U4284
U493,U2007
U493,U1967
U493,U26640
U493,U26641
U493,U26642
U493,U1970
U493,U26643
U493,U26644
U493,U518
U493,U26645
U493,U26646
U493,U26647
U493,U26648
U493,U26649
U493,U11658
U493,U26650
U493,U10502
U493,U26651
U493,U1995
U493,U9195
U493,U2523
U493,U26652
U493,U26249
U493,U2006
U493,U26653
U493,U26654
U493,U26655
U493,U4886
U493,U26656
U493,U26657
U493,U26658
U493,U26659
U493,U1994
U493,U2013
U493,U2055
U493,U1986
U493,U2015
U493,U26660
U493,U26661
U493,U26662
U493,U563
U493,U1988
U493,U26663
U493,U26664
U486,U487
U486,U488
U486,U489
U486,U490
U486,U491
U486,U496
U486,U497
U486,U498
U486,U499
U486,U501
U486,U502
U486,U503
U486,U504
U486,U505
U486,U506
U486,U507
U486,U508
U486,U509
U486,U510
U486,U511
U486,U512
U486,U513
U486,U514
U486,U516
U486,U517
U486,U518
U486,U519
U486,U494
U486,U520
U486,U521
U486,U523
U486,U524
U486,U525
U486,U526
U486,U527
U486,U528
U486,U529
U486,U530
U486,U531
U486,U532
U486,U533
U486,U534
U486,U29
U486,U535
U486,U536
U486,U537
U486,U538
U486,U539
U486,U540
U486,U493
U486,U541
U486,U542
U486,U543
U486,U544
U486,U545
U486,U546
U486,U549
U486,U550
U486,U551
U486,U552
U486,U553
U486,U554
U486,U555
U486,U556
U486,U558
U486,U559
U486,U560
U486,U561
U486,U562
U486,U564
U486,U565
U486,U495
U486,U566
U486,U567
U486,U568
U486,U569
U486,U570
U486,U571
U486,U572
U486,U573
U486,U574
U486,U563
U486,U575
U486,U576
U486,U577
U486,U578
U486,U579
U486,U580
U486,U581
U486,U582
U486,U583
U486,U584
U486,U585
U486,U586
U486,U587
U486,U588
U486,U589
U486,U590
U486,U591
U486,U592
U486,U593
U486,U594
U486,U595
U486,U596
U486,U597
U486,U598
U486,U599
U486,U600
U486,U601
U486,U492
U486,U602
U486,U604
U486,U605
U486,U606
U486,U607
U486,U608
U486,U547
U486,U609
U486,U610
U486,U611
U486,U612
U486,U613
U486,U614
U486,U615
U486,U616
U486,U617
U486,U618
U486,U619
U486,U620
U486,U621
U486,U622
U486,U515
U486,U623
U486,U624
U486,U625
U486,U522
U486,U626
U486,U627
U486,U628
U486,U603
U486,U629
U486,U630
U486,U631
U486,U632
U486,U633
U486,U634
U486,U635
U486,U636
U486,U637
U486,U638
U486,U639
U486,U640
U486,U641
U486,U642
U486,U643
U486,U644
U486,U645
U486,U646
U486,U647
U486,U648
U486,U649
U486,U650
U486,U651
U486,U652
U486,U653
U486,U654
U486,U655
U486,U656
U486,U500
U486,U657
U486,U658
U486,U659
U486,U660
U486,U661
U486,U662
U486,U663
U486,U664
U486,U665
U486,U666
U486,U667
U486,U668
U486,U669
U486,U670
U486,U671
U486,U672
U486,U673
U486,U674
U486,U675
U486,U676
U486,U677
U486,U678
U486,U679
U486,U680
U486,U681
U486,U682
U486,U557
U486,U683
U486,U684
U486,U685
U486,U686
U486,U687
U486,U688
U486,U689
U486,U690
U486,U691
U486,U692
U486,U693
U486,U694
U486,U695
U486,U548
U486,U696
U486,U697
U486,U562
U486,U546
U486,U563
U486,U547
U486,U548
U486,U500
U486,U554
U486,U494
U486,U495
U486,U518
U486,U602
U486,U570
U486,U550
U486,U519
U486,U578
U486,U620
U486,U512
U486,U533
U486,U594
U486,U29
U486,U515
U486,U493
U486,U603
U486,U569
U486,U557
U486,U563
U486,U512
U486,U522
U486,U518
U486,U495
U486,U593
U486,U603
U486,U493
U486,U531
U486,U588
U486,U492
U486,U494
U486,U516
U486,U548
U486,U547
U486,U585
U486,U533
U486,U554
U486,U29
U486,U550
U486,U500
U486,U576
U550,U29
U550,U486
U550,U493
U550,U29
U550,U1963
U550,U493
U550,U29
U550,U1963
U550,U486
U550,U493
U550,U1963
U550,U29
U550,U493
U550,U486
U550,U27132
