id,labels
U11522,"greater pittsburgh area, carnegie mellon university"
U11448,"shanghai city china, google"
U11421,"greater boston area, massachusetts general hospital, harvard university"
U11420,"london united kingdom, university college london"
U11423,shanghai city china
U11422,"san francisco bay area, google"
U11425,"china, baidu inc."
U11424,"san francisco bay area, rocket fuel inc."
U11427,"china, aliyun.com"
U11426,"shanghai city china, alibaba cloud computing company"
U11429,"albany new york area, rensselaer polytechnic institute"
U11428,greater boston area
U11548,"china, huainan normal university"
U11549,"beijing city china, google"
U11546,albany new york area
U11547,"albany new york area, ge global research"
U11544,bryan college station texas area
U11545,albany new york area
U11542,"greater new york city area, michael allen company"
U11543,albany new york area
U11540,"greater new york city area, lead edge capital"
U11541,"albany new york area, cisco systems"
U11418,"shanghai suburb china, hp software"
U11419,"greater new york city area, new york university - poly, icpc team @ new york university"
U11414,"china, baidu inc."
U11415,"shanghai city china, shanghai jiao tong university"
U11416,"san francisco bay area, university of california berkeley"
U11417,shanghai city china
U11410,"albany new york area, microsoft"
U11411,"greater denver area, national center for atmospheric research, rensselaer polytechnic institute, opendap"
U11412,"albany new york area, linkedin, rensselaer polytechnic institute"
U11413,"albany new york area, rensselaer polytechnic institute"
U11494,"shanghai city china, shanghai jiao tong university"
U11495,albany new york area
U11496,"shanghai city china, apex data and knowledge management lab"
U11497,"albany new york area, transfinder"
U11490,"china, sjtu, taobao"
U11491,"san francisco bay area, google"
U11492,china
U11493,"greater atlanta area, yahoo!"
U11551,"shenzhen guangdong china, oracle"
U11550,"bryan college station texas area, texas a&m university"
U11553,"shanghai city china, shanghai international port (group) co. ltd."
U11552,frankfurt am main area germany
U11409,"greater boston area, vertica systems"
U11408,"greater boston area, vertica systems (acquired by hp)"
U11403,"shanghai city china, university of waterloo"
U11402,"china, baidu inc."
U11401,"greater new york city area, speedoped sidecycle llc"
U11400,"albany new york area, rensselaer polytechnic institute, shanghai jiao tong university"
U11407,"china, yahoo! labs beijing"
U11406,"china, microsoft"
U11405,"china, shanghai jiao tong university"
U11404,"china, google"
U11483,san francisco bay area
U11482,albany new york area
U11481,"greater boston area, wayfair"
U11480,"greater san diego area, qualcomm"
U11487,"madison wisconsin area, university of wiscoonsin-madison"
U11486,"albany new york area, rensselaer polytechnic institute, rpi greater china business club"
U11485,"greater new york city area, voluntari.ly, salesmoto.com, good2do app, rpi greater china business club"
U11484,albany new york area
U11489,"shanghai city china, hong kong link information technology, shanghai jiao tong university"
U11488,hong kong
U11498,"san francisco bay area, google"
U11499,"china, google"
U11478,"albany new york area, rensselaer polytechnic institute"
U11479,san francisco bay area
U11476,greater new york city area
U11477,"albany new york area, rensselaer polytechnic institute"
